"C1452","水产品罐头制造","C145","ALL,C,C14,C145,C1452","STD_GB_4754-2011","行业大小类","0","0",
"C1453","蔬菜、水果罐头制造","C145","ALL,C,C14,C145,C1453","STD_GB_4754-2011","行业大小类","0","0",
"C1459","其他罐头食品制造","C145","ALL,C,C14,C145,C1459","STD_GB_4754-2011","行业大小类","0","0",
"C146","调味品、发酵制品制造","C14","ALL,C,C14,C146","STD_GB_4754-2011","行业大小类","0","0",
"C1461","味精制造","C146","ALL,C,C14,C146,C1461","STD_GB_4754-2011","行业大小类","0","0",
"C1462","酱油、食醋及类似制品制造","C146","ALL,C,C14,C146,C1462","STD_GB_4754-2011","行业大小类","0","0",
"C1469","其他调味品、发酵制品制造","C146","ALL,C,C14,C146,C1469","STD_GB_4754-2011","行业大小类","0","0",
"C149","其他食品制造","C14","ALL,C,C14,C149","STD_GB_4754-2011","行业大小类","0","0",
"C1491","营养食品制造","C149","ALL,C,C14,C149,C1491","STD_GB_4754-2011","行业大小类","0","0",
"C1492","保健食品制造","C149","ALL,C,C14,C149,C1492","STD_GB_4754-2011","行业大小类","0","0",
"C1493","冷冻饮品及食用冰制造","C149","ALL,C,C14,C149,C1493","STD_GB_4754-2011","行业大小类","0","0",
"C1494","盐加工","C149","ALL,C,C14,C149,C1494","STD_GB_4754-2011","行业大小类","0","0",
"C1495","食品及饲料添加剂制造","C149","ALL,C,C14,C149,C1495","STD_GB_4754-2011","行业大小类","0","0",
"C1499","其他未列明食品制造","C149","ALL,C,C14,C149,C1499","STD_GB_4754-2011","行业大小类","0","0",
"C15","酒、饮料和精制茶制造业","C","ALL,C,C15","STD_GB_4754-2011","行业大小类","0","0",
"C151","酒的制造","C15","ALL,C,C15,C151","STD_GB_4754-2011","行业大小类","0","0",
"C1511","酒精制造","C151","ALL,C,C15,C151,C1511","STD_GB_4754-2011","行业大小类","0","0",
"C1512","白酒制造","C151","ALL,C,C15,C151,C1512","STD_GB_4754-2011","行业大小类","0","0",
"C1513","啤酒制造","C151","ALL,C,C15,C151,C1513","STD_GB_4754-2011","行业大小类","0","0",
"C1514","黄酒制造","C151","ALL,C,C15,C151,C1514","STD_GB_4754-2011","行业大小类","0","0",
"C1515","葡萄酒制造","C151","ALL,C,C15,C151,C1515","STD_GB_4754-2011","行业大小类","0","0",
"C1519","其他酒制造","C151","ALL,C,C15,C151,C1519","STD_GB_4754-2011","行业大小类","0","0",
"C152","饮料制造","C15","ALL,C,C15,C152","STD_GB_4754-2011","行业大小类","0","0",
"C1521","碳酸饮料制造","C152","ALL,C,C15,C152,C1521","STD_GB_4754-2011","行业大小类","0","0",
"C1522","瓶（罐）装饮用水制造","C152","ALL,C,C15,C152,C1522","STD_GB_4754-2011","行业大小类","0","0",
"C1523","果菜汁及果菜汁饮料制造","C152","ALL,C,C15,C152,C1523","STD_GB_4754-2011","行业大小类","0","0",
"C1524","含乳饮料和植物蛋白饮料制造","C152","ALL,C,C15,C152,C1524","STD_GB_4754-2011","行业大小类","0","0",
"C1525","固体饮料制造","C152","ALL,C,C15,C152,C1525","STD_GB_4754-2011","行业大小类","0","0",
"C1529","茶饮料及其他饮料制造","C152","ALL,C,C15,C152,C1529","STD_GB_4754-2011","行业大小类","0","0",
"C153","精制茶加工","C15","ALL,C,C15,C153","STD_GB_4754-2011","行业大小类","0","0",
"C1530","精制茶加工","C153","ALL,C,C15,C153,C1530","STD_GB_4754-2011","行业大小类","0","0",
"C16","烟草制品业","C","ALL,C,C16","STD_GB_4754-2011","行业大小类","0","0",
"C161","烟叶复烤","C16","ALL,C,C16,C161","STD_GB_4754-2011","行业大小类","0","0",
"C1610","烟叶复烤","C161","ALL,C,C16,C161,C1610","STD_GB_4754-2011","行业大小类","0","0",
"C162","卷烟制造","C16","ALL,C,C16,C162","STD_GB_4754-2011","行业大小类","0","0",
"C1620","卷烟制造","C162","ALL,C,C16,C162,C1620","STD_GB_4754-2011","行业大小类","0","0",
"C169","其他烟草制品制造","C16","ALL,C,C16,C169","STD_GB_4754-2011","行业大小类","0","0",
"C1690","其他烟草制品制造","C169","ALL,C,C16,C169,C1690","STD_GB_4754-2011","行业大小类","0","0",
"C17","纺织业","C","ALL,C,C17","STD_GB_4754-2011","行业大小类","0","0",
"C171","棉纺织及印染精加工","C17","ALL,C,C17,C171","STD_GB_4754-2011","行业大小类","0","0",
"C1711","棉纺纱加工","C171","ALL,C,C17,C171,C1711","STD_GB_4754-2011","行业大小类","0","0",
"C1712","棉织造加工","C171","ALL,C,C17,C171,C1712","STD_GB_4754-2011","行业大小类","0","0",
"C1713","棉印染精加工","C171","ALL,C,C17,C171,C1713","STD_GB_4754-2011","行业大小类","0","0",
"C172","毛纺织及染整精加工","C17","ALL,C,C17,C172","STD_GB_4754-2011","行业大小类","0","0",
"C1721","毛条和毛纱线加工","C172","ALL,C,C17,C172,C1721","STD_GB_4754-2011","行业大小类","0","0",
"C1722","毛织造加工","C172","ALL,C,C17,C172,C1722","STD_GB_4754-2011","行业大小类","0","0",
"C1723","毛染整精加工","C172","ALL,C,C17,C172,C1723","STD_GB_4754-2011","行业大小类","0","0",
"C173","麻纺织及染整精加工","C17","ALL,C,C17,C173","STD_GB_4754-2011","行业大小类","0","0",
"C1731","麻纤维纺前加工和纺纱","C173","ALL,C,C17,C173,C1731","STD_GB_4754-2011","行业大小类","0","0",
"C1732","麻织造加工","C173","ALL,C,C17,C173,C1732","STD_GB_4754-2011","行业大小类","0","0",
